Date,Open,High,Low,Close,Adj Close,Volume
2020-11-27,54.090000,54.110001,52.750000,52.880001,51.428833,7694726
2020-11-30,52.820000,53.400002,52.230000,53.250000,51.788677,73181285
2020-12-01,53.439999,55.689999,53.380001,55.180000,53.665714,19967649
2020-12-02,55.430000,56.950001,55.160000,56.040001,54.502117,13940831
2020-12-03,56.720001,57.480000,56.299999,56.650002,55.095375,12678917
2020-12-04,56.849998,57.099998,54.520000,54.639999,53.140533,11667330
2020-12-07,54.799999,55.279999,53.849998,54.080002,52.595905,8911311
2020-12-08,54.080002,55.500000,53.810001,54.189999,52.702885,14469020
2020-12-09,54.389999,54.389999,53.509998,53.709999,52.236057,8260549
2020-12-10,54.139999,56.040001,54.080002,55.500000,53.976933,36492154
2020-12-11,55.500000,57.480000,55.380001,57.000000,55.435768,19185434
2020-12-14,56.599998,57.009998,56.000000,56.200001,55.112160,10996407
2020-12-15,56.380001,57.389999,55.299999,55.419998,54.347252,10276450
2020-12-16,55.410000,56.970001,55.270000,55.779999,54.700287,5833257
2020-12-17,55.720001,57.770000,55.720001,56.310001,55.220032,18088015
2020-12-18,56.509998,57.580002,55.500000,56.509998,55.416153,44905822
2020-12-21,56.040001,56.500000,55.220001,55.560001,54.484543,4147442
2020-12-22,55.599998,56.090000,55.119999,55.320000,54.249191,5912691
2020-12-23,55.470001,56.360001,55.119999,56.029999,54.945442,5436606
2020-12-24,56.000000,56.770000,55.549999,55.770000,54.690479,1506703
2020-12-28,56.090000,56.490002,55.689999,56.070000,54.984673,3536354
2020-12-29,56.340000,58.000000,56.220001,57.439999,56.328156,5443384
2020-12-30,57.599998,58.029999,57.000000,57.439999,56.328156,5019032
2020-12-31,57.310001,57.880001,55.810001,55.980000,54.896412,4717491
2021-01-04,56.099998,58.200001,56.099998,57.220001,56.112411,6872641
2021-01-05,57.360001,58.200001,56.520000,57.959999,56.838089,17102306
2021-01-06,58.189999,60.520000,57.779999,59.810001,58.652279,16706937
2021-01-07,60.099998,60.580002,57.410000,58.709999,57.573570,12717338
2021-01-08,58.840000,61.240002,58.840000,60.750000,59.574081,21180362
2021-01-11,60.709999,61.169998,60.310001,60.919998,59.740791,16839101
2021-01-12,60.950001,61.939999,60.700001,61.750000,60.554726,13538717
